keyword,product_key,buyer_research_refs,query_origin,semantic_cluster,intent,target_page_type,target_url,keyword_role,decision_reason,supporting_fact_ids,demand_evidence,season,research_period,validation_source,checked_at,representative_SERP_URLs,possible_overlap_with_other_products,mapping_reason,mapping_status,mapping_version
sugar skull Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,B001-007-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,sugar skull Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
skull optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,B001-007-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,sugar skull Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
pumpkin ghost Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,B001-008-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,pumpkin ghost Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-008,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
personalized Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,B001-008-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,pumpkin ghost Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-008,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-008,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
skeleton pit Halloween round rug,custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,B001-009-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,skeleton pit Halloween round rug,Commercial,PRODUCT,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-009,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
3D skeleton round rug,custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,B001-009-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,skeleton pit Halloween round rug,Commercial,PRODUCT,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-009,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-009,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
spider optical illusion Halloween rug,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,B001-010-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,spider optical illusion Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-010,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
spider round rug,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,B001-010-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,spider optical illusion Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-010,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-010,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20812707756; https://shop.tiktok.com/us/pdp/halloween-3d-skeleton-pit-round-rug-spooky-optic-illusion/1729524799415162793; https://shop.tiktok.com/us/pdp/1732597414909874553,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
tentacle pit Halloween rug,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,B002-011-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,tentacle pit Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,PRIMARY,Best fit for observed motif and product-level commercial intent.,B002-011,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/c/kp/vortex-illusion-rug; https://www.etsy.com/market/illusion_stairs_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Staircase-Ghost-Pumpkin-Circular-Floor-Mat-Non-Slip-Absorbent-Decorative-Doormat-Halloween-Home-Party/20673415859; https://www.walmart.com/ip/3D-Haunted-Staircase-Round-Rug-Optical-Illusion-Halloween-Area-Mat/20840972139; https://chillgen.com/collections/halloween,2026-09-07T01:19:02+07:00,https://www.walmart.com/c/kp/vortex-illusion-rug; https://www.etsy.com/market/illusion_stairs_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Staircase-Ghost-Pumpkin-Circular-Floor-Mat-Non-Slip-Absorbent-Decorative-Doormat-Halloween-Home-Party/20673415859,MEDIUM_WITH_SIMILAR_ROUND_RUG_PRODUCTS,Motif-specific keyword retained for product; broad seasonal term left for collection.,NEEDS_REVIEW,2.4
