keyword,product_key,buyer_research_refs,query_origin,semantic_cluster,intent,target_page_type,target_url,keyword_role,decision_reason,supporting_fact_ids,demand_evidence,season,research_period,validation_source,checked_at,representative_SERP_URLs,possible_overlap_with_other_products,mapping_reason,mapping_status,mapping_version
custom dog cauldron rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,B001-004-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog witch Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-004,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-004,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03; custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06; custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102; personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04; personalized-orthodox-christian-area-rug-custom-eastern-design-100; personalized-orthodox-christian-area-rug-custom-eastern-design-101; personalized-orthodox-christian-area-rug-custom-eastern-design-102; personalized-orthodox-christian-area-rug-custom-eastern-design-103; personalized-orthodox-christian-area-rug-custom-eastern-design-104; personalized-orthodox-christian-area-rug-custom-eastern-design-105; personalized-orthodox-christian-area-rug-custom-eastern-design-106; personalized-orthodox-christian-area-rug-custom-eastern-design-107; personalized-orthodox-christian-area-rug-custom-eastern-design-108; personalized-orthodox-christian-area-rug-custom-eastern-orthodox,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_EXPECTED_SHARED_TERM: overlap is limited to rejected/collection or cross-role usage; not treated as cannibalization by itself.,FINAL_REVIEWED,2.4-catalog-final-1
Halloween spider web optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,B001-005-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween spider web optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
3D Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,B001-005-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween spider web optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03; custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip; custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06; custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101; personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04; personalized-orthodox-christian-area-rug-custom-eastern-design-100; personalized-orthodox-christian-area-rug-custom-eastern-design-101; personalized-orthodox-christian-area-rug-custom-eastern-design-102; personalized-orthodox-christian-area-rug-custom-eastern-design-103; personalized-orthodox-christian-area-rug-custom-eastern-design-104; personalized-orthodox-christian-area-rug-custom-eastern-design-105; personalized-orthodox-christian-area-rug-custom-eastern-design-106; personalized-orthodox-christian-area-rug-custom-eastern-design-107; personalized-orthodox-christian-area-rug-custom-eastern-design-108; personalized-orthodox-christian-area-rug-custom-eastern-orthodox,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_EXPECTED_SHARED_TERM: overlap is limited to rejected/collection or cross-role usage; not treated as cannibalization by itself.,FINAL_REVIEWED,2.4-catalog-final-1
Halloween skeleton optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,B001-006-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween skeleton optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
3D skeleton rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,B001-006-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween skeleton optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03; custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip; custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06; custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102; personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04; personalized-orthodox-christian-area-rug-custom-eastern-design-100; personalized-orthodox-christian-area-rug-custom-eastern-design-101; personalized-orthodox-christian-area-rug-custom-eastern-design-102; personalized-orthodox-christian-area-rug-custom-eastern-design-103; personalized-orthodox-christian-area-rug-custom-eastern-design-104; personalized-orthodox-christian-area-rug-custom-eastern-design-105; personalized-orthodox-christian-area-rug-custom-eastern-design-106; personalized-orthodox-christian-area-rug-custom-eastern-design-107; personalized-orthodox-christian-area-rug-custom-eastern-design-108; personalized-orthodox-christian-area-rug-custom-eastern-orthodox,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_EXPECTED_SHARED_TERM: overlap is limited to rejected/collection or cross-role usage; not treated as cannibalization by itself.,FINAL_REVIEWED,2.4-catalog-final-1
sugar skull Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,B001-007-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,sugar skull Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,personalized-witch-area-rug-with-name-custom-halloween-r-design-04,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_SHARED_PRODUCT_TERM: keep only where each page has a distinct verified design/use-case modifier; QA before approval.,FINAL_REVIEWED,2.4-catalog-final-1
skull optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,B001-007-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,sugar skull Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_NO_EXACT_CROSS_PRODUCT_TERM_OVERLAP.,FINAL_REVIEWED,2.4-catalog-final-1
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-007,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02; custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03; custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip; custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06; custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101; personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102; personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04; personalized-orthodox-christian-area-rug-custom-eastern-design-100; personalized-orthodox-christian-area-rug-custom-eastern-design-101; personalized-orthodox-christian-area-rug-custom-eastern-design-102; personalized-orthodox-christian-area-rug-custom-eastern-design-103; personalized-orthodox-christian-area-rug-custom-eastern-design-104; personalized-orthodox-christian-area-rug-custom-eastern-design-105; personalized-orthodox-christian-area-rug-custom-eastern-design-106; personalized-orthodox-christian-area-rug-custom-eastern-design-107; personalized-orthodox-christian-area-rug-custom-eastern-design-108; personalized-orthodox-christian-area-rug-custom-eastern-orthodox,Product-specific motif retained; collection handles broad seasonal head term. CATALOG_REVIEW_EXPECTED_SHARED_TERM: overlap is limited to rejected/collection or cross-role usage; not treated as cannibalization by itself.,FINAL_REVIEWED,2.4-catalog-final-1
